SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM
12,VT-12,24.0,Female,Indigenous,,Co-habitation,2.0,5.0,2.0,2.0,2.0,,4.0,4.0,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2
13,VT-13,41.0,Male,Black,,Co-habitation,3.0,24.0,2.0,2.0,2.0,,4.0,4.0,4.0,3.0,10.0,8.5,4.5,10.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2
14,VT-14,57.0,Male,Black,,Married,3.0,30.0,2.0,2.0,2.0,1,3.0,4.0,3.0,2.0,8.0,7.5,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,3.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,0
15,VT-15,50.0,Female,Other,,Co-habitation,,20.0,2.0,2.0,1.0,3,2.0,3.0,4.0,2.0,5.5,5.5,5.5,5.5,5.5,1.0,0,1.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
16,VT-16,43.0,Female,Mesitza,,Co-habitation,,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,5.5,9.0,10.0,10.0,1.0,0,1.0,30%,3.0,3.0,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,0
17,VT-17,55.0,Male,Mesitzo,,Single,3.0,29.0,2.0,2.0,1.0,,4.0,4.0,3.0,,10.0,5.5,5.5,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2
18,VT-18,63.0,Male,Other,,Single,1.0,36.0,2.0,2.0,2.0,4,3.0,3.0,2.0,3.0,1.0,5.5,1.0,7.5,10.0,7.5,1,2.0,10%,2.0,2.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2
19,VT-19,37.0,Female,Indigenous,,Co-habitation,2.0,20.0,2.0,2.0,1.0,4,3.0,4.0,4.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,1,3.0,10%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0
20,VT-20,54.0,Male,Black,,Co-habitation,2.0,30.0,2.0,2.0,2.0,4,3.0,4.0,3.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,0,3.0,10%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2
21,VT-21,51.0,Male,Black,,Single,1.0,25.0,2.0,2.0,1.0,4,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,1.0,40%,3.0,3.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0
22,VT-22,38.0,Male,White,,Co-habitation,,15.0,1.0,2.0,1.0,3,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,1,3.0,60%,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0
23,VT-23,33.0,Female,Indigenous,Wiwa,Co-habitation,1.0,20.0,1.0,2.0,1.0,3,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,0,3.0,60%,2.0,2.0,0.0,0.0,1,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0
24,VT-24,56.0,Male,White,,Co-habitation,1.0,34.0,1.0,2.0,1.0,3,4.0,4.0,4.0,2.0,10.0,7.5,5.0,6.5,10.0,1.0,1,2.0,20%,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0
25,VT-25,32.0,Female,White,,Co-habitation,1.0,14.0,2.0,2.0,1.0,4,3.0,4.0,4.0,4.0,10.0,8.5,6.5,10.0,6.5,1.0,1,3.0,50%,2.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0
26,VT-26,62.0,Male,Mesitzo,,Co-habitation,1.0,37.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,9.0,10.0,10.0,10.0,1.0,BOTH,2.0,30%,3.0,3.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,2
27,VT-27,57.0,Male,Black,Guayú,Married,16.0,23.0,2.0,2.0,1.0,4,4.0,4.0,4.0,,10.0,10.0,10.0,5.5,10.0,1.0,0,2.0,30%,3.0,3.0,0.0,1.0,1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2
28,OT-01,53.0,Female,White,,Co-habitation,5.0,20.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0,3.0,50%,3.0,3.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2
29,OT-02,26.0,,White,,Co-habitation,1.0,6.0,1.0,2.0,2.0,4,3.0,3.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
30,OT-03,43.0,Male,Mestizo,,Co-habitation,2.0,23.0,1.0,2.0,2.0,4,4.0,,4.0,4.0,1.0,9.0,1.0,10.0,10.0,5.0,1,2.0,30%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0
31,OT-04,28.0,Male,Indigenous,Wuayu,Single,7.0,18.0,1.0,2.0,2.0,4,4.0,,4.0,2.0,,,,10.0,,1.0,1,2.0,40%,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
32,OT-05,37.0,Male,Mestizo,,Co-habitation,2.0,17.0,2.0,2.0,2.0,1,4.0,,4.0,3.0,10.0,1.0,10.0,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
33,OT-06,50.0,Male,White,,Co-habitation,5.0,21.0,2.0,2.0,2.0,4,4.0,4.0,,,8.0,10.0,5.0,10.0,10.0,1.0,1,3.0,40%,3.0,3.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2
34,OT-07,41.0,Female,White,,Co-habitation,2.0,18.0,2.0,2.0,1.0,3,3.0,4.0,4.0,3.0,10.0,1.0,1.0,8.0,10.0,1.0,0,3.0,30%,3.0,3.0,0.0,3.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2
35,OT-08,38.0,Male,Mestizo,,Co-habitation,2.0,13.0,2.0,2.0,2.0,3,4.0,4.0,4.0,3.0,10.0,1.0,5.0,10.0,10.0,1.0,0,3.0,40%,3.0,3.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,
36,OT-09,40.0,,White,,Single,,17.0,2.0,2.0,1.0,1,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1,2.0,50%,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
37,OT-10,48.0,Male,White,,Co-habitation,2.0,23.0,2.0,2.0,1.0,4,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1,2.0,50%,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
38,OT-11,50.0,Male,Mestizo,,Co-habitation,3.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,1.0,7.0,1.0,1.0,10.0,10.0,1.0,1,3.0,80%,3.0,3.0,0.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,2
39,OT-12,24.0,Female,Indigenous,,Married,7.0,,2.0,2.0,1.0,1,3.0,3.0,1.0,1.0,10.0,1.0,1.0,8.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
40,OT-13,37.0,Female,Mestizo,,Single,2.0,22.0,1.0,2.0,1.0,,4.0,4.0,4.0,3.0,9.0,10.0,5.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
41,OT-14,34.0,Female,Other,,Co-habitation,7.0,20.0,2.0,2.0,1.0,4,4.0,3.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,0,3.0,20%,3.0,3.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1
42,OT-15,33.0,Female,White,,Co-habitation,,13.0,2.0,2.0,1.0,2,4.0,4.0,3.0,3.0,5.0,9.0,7.0,10.0,10.0,1.0,0,3.0,50%,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
43,OT-16,48.0,Male,Mestizo,,Co-habitation,,23.0,2.0,2.0,2.0,3,3.0,4.0,4.0,4.0,10.0,3.0,2.0,10.0,10.0,1.0,0,2.0,30%,3.0,3.0,0.0,2.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,2
44,OT-17,35.0,Female,Black,,Co-habitation,2.0,16.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
45,OT-18,40.0,Male,Indigenous,Kankuamo,Co-habitation,1.0,16.0,0.0,2.0,1.0,3,3.0,,4.0,4.0,10.0,7.0,1.0,10.0,1.0,1.0,1,2.0,60%,3.0,3.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
46,OT-19,28.0,Female,Indigenous,Yukpa,Co-habitation,,15.0,2.0,2.0,2.0,1,,4.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,40%,2.0,3.0,0.0,2.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
47,OT-20,26.0,Female,Indigenous,Wayu,Co-habitation,1.0,15.0,1.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0,3.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,2
48,OT-21,40.0,Male,Indigenous,Yukpa,Co-habitation,,16.0,2.0,2.0,2.0,4,4.0,,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,1,3.0,80%,3.0,3.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
49,OT-22,39.0,Male,Mestizo,,Co-habitation,2.0,20.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,10.0,10.0,1.0,1,3.0,100%,3.0,3.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
50,OT-23,34.0,Male ,White,,Co-habitation,2.0,6.0,,2.0,1.0,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1,2.0,20%,3.0,3.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
51,OT-24,53.0,Female,Indigenous,Kankuama,Single,2.0,30.0,,2.0,1.0,3,4.0,4.0,4.0,1.0,8.0,9.0,1.0,10.0,3.0,1.0,0,2.0,30%,3.0,3.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2
52,OT-25,46.0,Male,Other,,Separated,1.0,17.0,2.0,1.0,2.0,3,4.0,4.0,4.0,4.0,1.0,1.0,1.0,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
53,OT-26,27.0,Male,Indigenous,Wayu,Single,1.0,15.0,1.0,1.0,1.0,1,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1,2.0,10%,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2
54,MT-01,53.0,Male,Mestizo,,Co-habitation,3.0,24.0,2.0,2.0,1.0,4,3.0,3.0,1.0,3.0,7.0,1.0,4.0,7.0,10.0,1.0,1,3.0,20%,3.0,3.0,0.0,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0
55,MT-02,58.0,Male,Mestizo,,Co-habitation,1.0,30.0,2.0,2.0,1.0,3,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,30%,3.0,2.0,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2
56,AT-01,50.0,Male,Indigenous,Wayuu,Co-habitation,1.0,26.0,2.0,2.0,2.0,3,3.0,4.0,4.0,4.0,7.0,1.0,1.0,3.0,10.0,1.0,1,1.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1
57,AT-02,24.0,Female,Indigenous,Kankuama,Co-habitation,1.0,20.0,2.0,2.0,1.0,3,4.0,4.0,4.0,2.0,10.0,1.0,1.0,8.0,9.0,1.0,0,2.0,40%,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2
58,AT-03,53.0,Female,Indigenous,Kankuama,Widow,2.0,30.0,2.0,2.0,1.0,3,4.0,3.0,2.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0,2.0,30%,3.0,3.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2
59,AT-04,22.0,Female,Indigenous,Wayuu,Co-habitation,1.0,3.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,5.0,1.0,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,2.0,2.0,
60,AT-05,37.0,Female,Other,,Co-habitation,1.0,18.0,2.0,2.0,1.0,1,4.0,3.0,4.0,4.0,10.0,1.0,3.0,10.0,10.0,1.0,1,2.0,30%,2.0,2.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
61,AT-06,47.0,Male,Black,,Married,7.0,20.0,,2.0,2.0,2,3.0,3.0,3.0,3.0,10.0,4.0,1.0,10.0,10.0,1.0,0,2.0,30%,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2
62,AT-07,38.0,Male,Other,,Co-habitation,2.0,17.0,2.0,2.0,2.0,3,3.0,4.0,4.0,4.0,7.0,2.0,5.0,5.0,7.0,1.0,0,2.0,30%,1.0,1.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
63,AT-08,43.0,Female,Indigenous,Kankuama,Single,,25.0,2.0,2.0,1.0,2,4.0,4.0,3.0,4.0,8.0,5.0,1.0,8.0,8.0,1.0,1,2.0,40%,1.0,1.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2
64,AT-09,32.0,Male,Black,,Single,1.0,6.0,2.0,2.0,2.0,4,3.0,4.0,4.0,2.0,10.0,1.0,5.0,10.0,10.0,1.0,1,2.0,40%,3.0,2.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2
65,AT-10,44.0,Male,Other,,Co-habitation,3.0,30.0,2.0,2.0,1.0,1,4.0,4.0,4.0,2.0,10.0,5.0,1.0,10.0,10.0,1.0,1,2.0,5%,1.0,1.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,2.0,1.0,0.0,3
66,AT-11,27.0,Female,Other,,Co-habitation,3.0,3.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,5.0,1.0,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,3
67,AT-12,52.0,Male,Mestizo,,Single,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,AT-13,50.0,Male,White,,Co-habitation,1.0,28.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,2.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,Common
69,AT-14,45.0,Male,Mestizo,,Co-habitation,2.0,30.0,2.0,2.0,2.0,3,4.0,4.0,4.0,4.0,10.0,3.0,4.0,10.0,10.0,1.0,1,2.0,40%,2.0,2.0,0.0,1.0,Not at all,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2
70,VP-01,59.0,Male,White,,Co-habitation,5.0,22.0,2.0,2.0,1.0,4,4.0,4.0,4.0,2.0,1.0,10.0,5.5,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1
71,VP-02,32.0,Female,Indigenous,Guigua + Cuencuamo,Single,1.0,16.0,2.0,2.0,1.0,2,4.0,4.0,3.0,4.0,10.0,10.0,5.5,10.0,5.5,1.0,0,3.0,60%,2.0,2.0,0.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3
72,VP-03,26.0,Female,Indigenous,Aruaca,Single,4.0,11.0,2.0,2.0,1.0,4,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1,2.0,10%,2.0,2.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,3.0,3
73,VP-04,44.0,Female,Other,,Single,1.0,22.0,0.0,2.0,2.0,1,4.0,4.0,1.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,0,3.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
74,VP-05,35.0,Male,Indigenous,Cancuama,Co-habitation,1.0,21.0,2.0,2.0,1.0,1,4.0,4.0,1.0,3.0,10.0,5.5,1.0,5.5,5.5,1.0,1,1.0,20%,2.0,2.0,0.0,1.0,1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3
75,VP-06,24.0,Female,Indigenous,Aruaca,Co-habitation,2.0,10.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,10.0,10.0,10.0,,10.0,1,2.0,60%,1.0,1.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3
76,VP-07,56.0,Female,Mestiza,,Co-habitation,6.0,31.0,2.0,2.0,1.0,2,4.0,4.0,4.0,,5.5,5.5,5.5,10.0,10.0,1.0,0,1.0,50%,3.0,,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3
77,VP-08,42.0,Female,White,,Single,3.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1,3.0,50%,2.0,2.0,0.0,3.0,0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2
78,VP-09,56.0,Male,Mestizo,,Co-habitation,2.0,35.0,2.0,2.0,1.0,2,4.0,4.0,4.0,3.0,5.5,5.5,5.5,10.0,10.0,1.0,0,2.0,30%,1.0,,0.0,2.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3
79,VP-10,26.0,Female,Mestizo,,Co-habitation,1.0,10.0,2.0,2.0,2.0,2,4.0,4.0,3.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0,1.0,50%,3.0,2.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1
80,VP-11,35.0,Male,Mestizo,,Co-habitation,,15.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,3
81,VP-12,49.0,Female,Other,,Single,1.0,30.0,2.0,1.0,1.0,3,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1,3.0,60%,3.0,3.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
